name,latitude,longitude
Харваловци,42.9484,25.7352
Лещен,41.6372,23.8287
Христо Даново,42.7276,24.5973
Беджене,43.45,27.264
Добричка,43.6494,27.5686
Руня,42.9801,25.5437
Муця,42.9592,25.5019
Заевите,41.6736,24.5702
Драгомани,42.9372,25.397
Геня,43.0061,25.4947
Кметчета,42.9422,25.3887
Карали,42.9492,25.391
Кокошане,41.6115,25.2729
Средни рът,43.0583,23.8993
Харачерите,42.9169,25.4055
Главатарци,41.6471,25.311
Дебел дял,42.8752,25.1798
Овчага,43.1664,27.3402
Добри дол,43.0721,27.7538
Сопот,42.6539,24.755
Карлово,42.6421,24.8087
Кметовци,42.9001,25.3933
Еленците,43.0322,25.4462
Каломен,43.0294,25.4288
Длъгня,43.0149,25.5142
Туркинча,43.0179,25.4835
Балванците,43.0184,25.4495
Борското,42.8983,25.1689
Сугарево,41.5615,23.4291
Долени,41.5719,23.412
Каравелово,42.6257,24.6562
Делта Хил,42.5657,23.1691
Голем Цалим,41.6079,23.3366
Белевехчево,41.5654,23.3068
Бождово,41.6017,23.3615
Вихрен,41.6345,23.3418
Горна Сушица,41.5551,23.386
Малки Цалим,41.6027,23.3428
Тодорчета,42.9254,25.3943
Раховци,42.9279,25.3893
Ново бърдо,42.9676,22.8493
Чеканец,42.8578,22.8056
Вишан,42.9382,22.7966
Дреатин,42.8859,22.7848
Долна Невля,42.9364,22.8054
Грълска падина,42.8896,22.7649
Беренде Извор,42.9996,22.8974
Беренде,42.9901,22.938
Чепърлинци,43.0187,22.9074
Връдловци,43.0369,22.9331
Липинци,43.0139,22.8689
Горно село,42.8688,22.7798
Долно Ново село,42.965,22.7968
Градище,42.5996,23.3947
Косанин дол,42.6035,23.3878
Детски град,42.6132,23.3946
Априлци,42.3103,24.3056
Иракли,42.7532,27.8886
Раювци,42.9279,25.751
Търсино,42.2172,22.7406
Илевци,42.8667,25.68
Сърненци,42.858,25.6292
Дойновци,42.855,25.6578
Купен,42.8507,25.1174
Баба Стана,42.8846,24.7914
Дрянът,42.8327,25.0439
Шопите,42.8495,24.9846
Радоевското,42.8666,24.7748
Българи,42.9357,24.9156
Жълти Рид,41.463,25.3333
Бързея,41.3488,25.3238
Скалина,41.4654,25.3116
Ручей,41.381,25.6044
Върли дол,41.3533,25.3211
Костурино,41.3501,25.3031
Дъбова,41.5319,24.8506
Крушев дол,41.444,24.9409
Кокорци,41.5232,24.8235
Въргов дол,41.4916,24.9713
Бреза,41.4503,24.8699
Арпаджик,41.5279,24.925
Фабрика,41.4399,24.9837
Печинска,41.4671,24.9677
Вранинци,41.5134,24.9535
Габрица,41.5426,24.7696
Борика,41.5667,24.9225
Върба,41.4763,24.9028
Рустан,41.5278,24.873
Мочуре,41.4051,24.7624
Боево,41.518,24.8409
Валевци,42.8402,25.087
Динк,42.2666,24.7998
Батово,43.414,27.9603
Радиново,42.1931,24.6382
Пловдив,42.1359,24.7491
Върбово,41.763,25.858
Ясно поле,42.232,24.9389
Крислово,42.2415,24.795
Борово,41.8469,24.8743
Маноле,42.188,24.9333
Ракитово,41.9924,24.0924
Костуринци,42.7661,22.5793
Пазарджик,42.1889,24.3325
Лозен,42.1867,24.1818
Траве,41.6494,25.0098
Кундево,41.5074,25.0921
Диманово,41.4774,25.1179
Дуня,41.4484,25.0326
Видрар,42.6736,22.5901
Докьовци,42.647,22.5968
Вукан,42.7735,22.6106
Тънка бара,41.4797,25.1396
Раковица,43.7657,22.4711
Боровец,43.1534,27.8954
Пушево,43.0702,25.4752
Бранище,43.5289,27.8454
Сечен камък,42.8196,25.4568
Цвятковци,42.8979,25.4217
Йововци,42.8025,25.4438
Носеите,42.8159,25.448
Горни Цоневци,42.8081,25.4538
Ножерите,42.8113,25.4612
Йовчевци,42.8908,25.6095
Боровско,41.7339,25.2327
Гара Срацимирово,43.8225,22.7602
Доборско,41.4903,25.7743
Кожухарци,41.5934,25.7546
Хисар,41.5371,25.6502
Карловско,41.5285,25.9267
Сбор,41.5479,25.747
Чучулига,41.5508,25.9161
Сладкодум,41.5798,25.7193
Падало,41.5636,25.7692
Пашкул,41.5226,25.8894
Качулка,41.4978,25.6896
Глумово,41.5352,25.9033
Чал,41.5108,25.7596
Орешари,41.5986,25.7381
Стрелково,43.9345,27.4304
Яворовец,42.6615,25.6349
Лешко,41.9335,22.9763
Киркова махала,43.0637,24.5889
Свети Константин,42.0216,24.2257
Вракуповица,41.6638,23.0883
Горна Рибница,41.6437,23.0358
Влахи,41.7408,23.2298
